instancia,artista,t_lineal,t_binaria
88,Artista_0,0.027335,0.000797
88,Artista_40,0.067533,0.000802
88,Artista_81,0.068267,0.000933
88,Artista_122,0.060785,0.000806
88,Artista_162,0.056696,0.000805
89,Artista_0,0.026211,0.000957
89,Artista_40,0.068351,0.000787
89,Artista_81,0.067784,0.000749
89,Artista_122,0.058738,0.000811
89,Artista_162,0.057364,0.000843
90,Artista_0,0.027042,0.000829
90,Artista_40,0.069494,0.000909
90,Artista_81,0.068948,0.000857
90,Artista_122,0.061628,0.000668
90,Artista_162,0.056917,0.000762
91,Artista_0,0.026951,0.000965
91,Artista_40,0.068002,0.000952
91,Artista_81,0.068667,0.000675
91,Artista_122,0.059800,0.000894
91,Artista_162,0.057257,0.000881
92,Artista_0,0.026543,0.000926
92,Artista_40,0.069016,0.001070
92,Artista_81,0.068355,0.000697
92,Artista_122,0.062528,0.000894
92,Artista_162,0.057753,0.001116
93,Artista_0,0.026132,0.000919
93,Artista_40,0.068382,0.000849
93,Artista_81,0.069742,0.000905
93,Artista_122,0.059649,0.000786
93,Artista_162,0.058097,0.000693
94,Artista_0,0.026653,0.000892
94,Artista_40,0.069910,0.000987
94,Artista_81,0.068993,0.000723
94,Artista_122,0.059814,0.000800
94,Artista_162,0.057401,0.000850
95,Artista_0,0.026061,0.000885
95,Artista_40,0.068263,0.000855
95,Artista_81,0.069046,0.000706
95,Artista_122,0.059356,0.000738
95,Artista_162,0.057066,0.000763
96,Artista_0,0.027430,0.000710
96,Artista_40,0.069396,0.000785
96,Artista_81,0.068159,0.000758
96,Artista_122,0.060469,0.000766
96,Artista_162,0.060269,0.000972
97,Artista_0,0.026258,0.000822
97,Artista_40,0.067668,0.000987
97,Artista_81,0.068594,0.000837
97,Artista_122,0.060749,0.001163
97,Artista_162,0.058737,0.000962
98,Artista_0,0.026603,0.000991
98,Artista_40,0.068070,0.000730
98,Artista_81,0.066857,0.000694
98,Artista_122,0.060979,0.000839
98,Artista_162,0.059298,0.000733
99,Artista_0,0.025951,0.000861
99,Artista_40,0.067453,0.000803
99,Artista_81,0.069599,0.000834
99,Artista_122,0.059283,0.000844
99,Artista_162,0.058264,0.000892
